2025-03-27 07:06:50.128 [http-nio-8074-exec-736] [LZ565760432] [OPEN_API_T3WMtKes8KvvdqUy] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 入参:[/ph/cimb/partner/v1/cust/inquiry],{"body":{"birth_date":"20001111","cell_phone_no":"9757177523","cust_first_name":"jhjes","cust_last_name":"CDLC","cust_middle_name":"CLD","e_mail":"88614859@163.com","mobile_country_code":"63","publicuserid":"1107004000611956574"},"branchId":"2086","company":"CIMBPH","header":{"chnldt":"20230420","chnlsq":"LZ565760432","chnltm":"011442"},"seqNo":"LZ565760432","sourceType":"LZD","systemId":"10","tranDate":"20230420","tranTimestamp":"20230420011442","userId":"LZD1","userLang":"en_US","version":"1.0"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1625] [LZ1310342524] [OPEN_API_iXa57SgezLeBv0M9] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1625] [LZ1310342524] [OPEN_API_iXa57SgezLeBv0M9] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1681] [LZ3998680772] [OPEN_API_YhaOH4k4uJP9Sn6g] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1608] [LZ3536746439] [OPEN_API_4YmJuSMKjYwM2ChQ] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1474] [LZ8960411402] [OPEN_API_jJCY3qs5sgIvrdQe] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1474] [LZ8960411402] [OPEN_API_jJCY3qs5sgIvrdQe] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：196ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ8960411402","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ8960411402"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1596] [LZ7658143917] [OPEN_API_M7MkDxFhfmFjXHaL] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1669] [LZ4952329065] [OPEN_API_MR2SMbtRZJ1d4ZkV] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：96ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1669] [LZ4952329065] [OPEN_API_MR2SMbtRZJ1d4ZkV] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1669] [LZ4952329065] [OPEN_API_MR2SMbtRZJ1d4ZkV] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1649] [LZ1036650356] [OPEN_API_P5dGe8dMQ19ieWKq] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：80ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1649] [LZ1036650356] [OPEN_API_P5dGe8dMQ19ieWKq] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1649] [LZ1036650356] [OPEN_API_P5dGe8dMQ19ieWKq] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1665] [LZ9300487307] [OPEN_API_tGJOgH08kXQrbd8k] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1651] [LZ6256088659] [OPEN_API_3USWm9eAoRJrp30V] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1642] [LZ3872798866] [OPEN_API_LpmeDmRl40H6kNW1] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1585] [LZ9125293225] [OPEN_API_uHx1Lm2mfiJosR5R] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1617] [LZ4130489626] [OPEN_API_IrqbS3JdUiRI0PQe] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1607] [LZ3015580189] [OPEN_API_tcx75HWSzUgKXgtQ] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：86ms
